"Ensembl_gene_id","Omim_inheritance"
"ENSG00000153283","AR"
"ENSG00000140326","AR"
"ENSG00000079335","AR"
"ENSG00000093009","AR"
"ENSG00000094804","AR"
"ENSG00000134371","AD;Somatic mutation"
"ENSG00000144354","AR"
"ENSG00000039068","AD"
"ENSG00000140937","AR"
"ENSG00000129910","AD"
"ENSG00000107736","AR"
"ENSG00000062038","AR"
"ENSG00000148600","AR"
"ENSG00000185324","AR"
"ENSG00000065883","AD"
"ENSG00000164885","AR"
"ENSG00000136861","AR"
"ENSG00000105810","AR"
"ENSG00000008086","XL-D"
"ENSG00000111276","AD"
"ENSG00000129757","AD"
"ENSG00000147889","AD"
"ENSG00000064309","AD;Sporadic"
"ENSG00000204539","AD;AR"
"ENSG00000167513","AR"
"ENSG00000172288","YL"
"ENSG00000182415","YL"
"ENSG00000213892","AD"
"ENSG00000245848","AD"
"ENSG00000092067","AR"
"ENSG00000170835","AD"
"ENSG00000138778","AR"
"ENSG00000117724","AR"
"ENSG00000151849","AR;Heterogeneous"
"ENSG00000116198","AR"
"ENSG00000168944","AR"
"ENSG00000174799","AR"
"ENSG00000103995","AR"
"ENSG00000110274","AR"
"ENSG00000174007","AR"
"ENSG00000198707","AR"
"ENSG00000106477","AR"
"ENSG00000138180","AR"
"ENSG00000166037","AR"
"ENSG00000182923","AR"
"ENSG00000148019","AR"
"ENSG00000173588","AR"
"ENSG00000188452","AR"
"ENSG00000223802","AR"
"ENSG00000154227","AR"
"ENSG00000087237","AD"
"ENSG00000159079","AR"
"ENSG00000172361","AR"
"ENSG00000136698","AD;AR"
"ENSG00000197766","AR"
"ENSG00000000971","AD;AR"
"ENSG00000134389","AD"
"ENSG00000205403","AR"
"ENSG00000165410","AR"
"ENSG00000126759","XL-R"
"ENSG00000001626","AR;Heterogeneous"
"ENSG00000198824","AD"
"ENSG00000070748","AR;Heterogeneous"
"ENSG00000250479","AD"
"ENSG00000173575","AD"
"ENSG00000111642","AD"
"ENSG00000171316","AD;Sporadic"
"ENSG00000183765","AD"
"ENSG00000100288","AR;MT"
"ENSG00000188419","XL;XL-D"
"ENSG00000131165","AR"
"ENSG00000083937","AD"
"ENSG00000101421","AD"
"ENSG00000128656","AD"
"ENSG00000133019","AR"
"ENSG00000138435","AD;AR"
"ENSG00000120903","AD;Heterogeneous"
"ENSG00000101204","AD"
"ENSG00000175344","AD"
"ENSG00000170175","AD;AR"
"ENSG00000160716","AD"
"ENSG00000135902","AD;AR"
"ENSG00000108556","AD;AR"
"ENSG00000196811","AR"
"ENSG00000169105","AR"
"ENSG00000122863","AD;AR"
"ENSG00000183196","AR"
"ENSG00000124302","AR"
"ENSG00000131873","AR"
"ENSG00000213341","AR"
"ENSG00000136425","AR"
"ENSG00000187288","AR"
"ENSG00000179583","AD;AR"
"ENSG00000145354","AR"
"ENSG00000122966","AR"
"ENSG00000164442","AD"
"ENSG00000169607","AR"
"ENSG00000175505","AR"
"ENSG00000188037","AD;AR"
"ENSG00000114859","AR"
