Ensembl_gene_id Gene_name2 Omim_inheritance
ENSG00000151779 NBAS AR
ENSG00000134323 MYCN AD
ENSG00000118965 WDR35 AR
ENSG00000132031 MATN3 AD,AR
ENSG00000084674 APOB AD,AR
ENSG00000115138 POMC AD,Mu,AR
ENSG00000119772 DNMT3A AD
ENSG00000143970 ASXL2 AD
ENSG00000084754 HADHA AR
ENSG00000138029 HADHB AR
ENSG00000157856 DRC1 AR
ENSG00000115155 OTOF AR
ENSG00000171303 KCNK3 AD
ENSG00000084693 AGBL5 AR
ENSG00000138030 KHK AR
ENSG00000084774 CAD AR
ENSG00000115204 MPV17 AR,Mi
ENSG00000115211 EIF2B4 AR
ENSG00000163795 ZNF513 AR
ENSG00000138002 IFT172 AR
ENSG00000243147 MRPL33 Mi
ENSG00000158125 XDH AR
ENSG00000277893 None AR
ENSG00000021574 SPAST AD
ENSG00000091106 NLRC4 AD
ENSG00000138061 CYP1B1 AR
ENSG00000115904 SOS1 AD
ENSG00000138036 DYNC2LI1 AR
ENSG00000138075 ABCG5 AR
ENSG00000143921 ABCG8 AR
ENSG00000138095 LRPPRC AR
ENSG00000138079 SLC3A1 AD,AR
ENSG00000138083 SIX3 AD,IC
ENSG00000119878 CRIPT AR
ENSG00000068724 TTC7A AR
ENSG00000198668 CALM1 AD
ENSG00000119888 EPCAM AR
ENSG00000095002 MSH2 AD,AR
ENSG00000116062 MSH6 AD,AR
ENSG00000138039 LHCGR AD,AR
ENSG00000170820 FSHR AD,AR
ENSG00000179915 NRXN1 AR
ENSG00000085760 MTIF2 Mi
ENSG00000115355 CCDC88A AR
ENSG00000138035 PNPT1 AR
ENSG00000115380 EFEMP1 AD
ENSG00000115392 FANCL AR
ENSG00000119866 BCL11A AD
ENSG00000162928 PEX13 AR
ENSG00000143951 WDPCP AR
ENSG00000115902 SLC1A4 AR
ENSG00000169604 ANTXR1 AD,AR
ENSG00000198380 GFPT1 AR
ENSG00000169599 NFU1 AR
ENSG00000116001 TIA1 AD,AR
ENSG00000183733 FIGLA AD
ENSG00000116039 ATP6V1B1 AR
ENSG00000124370 MCEE AR
ENSG00000135636 DYSF AR
ENSG00000116096 SPR AD,AR
ENSG00000116127 ALMS1 AR
ENSG00000124356 STAMBP AR
ENSG00000163017 ACTG2 AD
ENSG00000114956 DGUOK AR,Mi
ENSG00000163170 BOLA3 AR
ENSG00000204843 DCTN1 AD,AR
ENSG00000115275 MOGS AR
ENSG00000204822 MRPL53 Mi
ENSG00000115317 HTRA2 AR
ENSG00000115364 MRPL19 Mi
ENSG00000163541 SUCLG1 AR,Mi
ENSG00000115459 ELMOD3 AR
ENSG00000115486 GGCX AR
ENSG00000168878 SFTPB AR
ENSG00000115525 ST3GAL5 AR
ENSG00000132313 MRPL35 Mi
ENSG00000068615 REEP1 AD
ENSG00000153563 CD8A AR
ENSG00000172071 EIF2AK3 AR
ENSG00000153574 RPIA AR
ENSG00000144029 MRPS5 Mi
ENSG00000274286 None AD
ENSG00000135956 TMEM127 AD
ENSG00000144028 SNRNP200 AD
ENSG00000114988 LMAN2L AR
ENSG00000158158 CNNM4 AR
ENSG00000115085 ZAP70 AR
ENSG00000168658 VWA3B AR
ENSG00000144191 CNGA3 AR
ENSG00000183513 COA5 AR
ENSG00000144182 LIPT1 AR
ENSG00000185414 MRPL30 Mi
ENSG00000135972 MRPS9 Mi
ENSG00000115665 SLC5A7 AD,AR
ENSG00000153201 RANBP2 AD
ENSG00000135960 EDAR AD,AR
ENSG00000144061 NPHP1 AR
ENSG00000153208 MERTK AR
ENSG00000169607 CKAP2L AR
ENSG00000125538 IL1B AD
ENSG00000136695 IL36RN AR
ENSG00000136689 IL1RN AD,AR
ENSG00000125618 PAX8 AD
ENSG00000115107 STEAP3 AD
ENSG00000074047 GLI2 AD
ENSG00000264229 RNU4ATAC AR
ENSG00000136717 BIN1 AR
ENSG00000163161 ERCC3 AR
ENSG00000115718 PROC AD,AR
ENSG00000072163 LIMS2 AR
ENSG00000136720 HS6ST1 AD
ENSG00000136710 CCDC115 AR
ENSG00000136698 CFC1 AD
ENSG00000115839 RAB3GAP1 AR
ENSG00000115850 LCT AR
ENSG00000076003 MCM6 AD
ENSG00000115866 DARS AR
ENSG00000121966 CXCR4 AD
ENSG00000150540 HNMT AD,AR
ENSG00000115919 KYNU AR
ENSG00000169554 ZEB2 AD
ENSG00000115947 ORC4 AR
ENSG00000204406 MBD5 AD
ENSG00000168280 KIF5C AD
ENSG00000168288 MMADHC AR
ENSG00000183091 NEB AR
ENSG00000182389 CACNB4 AD
ENSG00000115159 GPD2 AD
ENSG00000115170 ACVR1 AD
ENSG00000115221 ITGB6 AR
ENSG00000115267 IFIH1 AD
ENSG00000136531 SCN2A AD
ENSG00000115339 GALNT3 AR
